name,tier,tier_name,public,earnings,sat,faculty,price
Abilene Christian University,6,Selective private,0,40.2,1100,48.03975877192982,10.91
Adelphi University,6,Selective private,0,50.6,1065,55.52309743589744,15.69
Agnes Scott College,4,Highly selective private,0,39.4,1185,56.07814814814815,16.745
Alabama State University,5,Selective public,1,27.8,800,45.69152293577982,2.52
Albany State University,5,Selective public,1,32.7,900,45.16408219178082,2.398
Albertus Magnus College,6,Selective private,0,52.2,1010,45.315066666666674,14.778
Albion College,6,Selective private,0,45.1,1150,53.80090082644629,18.892
Albright College,6,Selective private,0,48.5,1015,47.58010989010989,20.31
Alderson Broaddus University,6,Selective private,0,43.4,985,35.4748870967742,13.89
Alfred University,6,Selective private,0,42.3,1074,54.84521739130434,19.158
Allegheny College,6,Selective private,0,49.2,1185,53.26957037037036,21.57
Alma College,6,Selective private,0,44.7,1200,55.58429411764705,15.809
Alvernia University,6,Selective private,0,42.6,930,43.691931034482764,13.2
American International College,6,Selective private,0,42.4,874,42.1180625,14.004
American University,4,Highly selective private,0,55.9,1210,75.4925934291581,21.399
Amherst College,2,Other elite schools (public and private),0,56.8,1415,89.014,26.08
"Anderson University of Anderson, SC",8,Nonselective four-year private not-for-profit,0,32.8,1000.5,40.670379999999994,10.805
Andrews University,6,Selective private,0,36,1020,36.11854732510288,12.916
Angelo State University,5,Selective public,1,38,1005,48.52997641509434,1.942
Anna Maria College,6,Selective private,0,42.4,950,27.60044117647059,14.645
Appalachian State University,5,Selective public,1,36.6,1100,55.89824644549762,1.988
Arcadia University,6,Selective private,0,43.7,1080,56.078609195402294,17.83
Arizona State And Northern Arizona University And University Of Arizona,5,Selective public,1,43.394035,1092.1804,66.08006440504376,2.3456853
Armstrong Atlantic State University,5,Selective public,1,39.4,995,50.56590384615384,2.242
Asbury College,6,Selective private,0,34.1,1145,44.04170652173913,13.884
Ashford University,10,Four-year for-profit,0,37.5,882.5,35.381041666666654,13.42
Ashland University,6,Selective private,0,39.2,1005,52.151244239631325,15.53
Assumption College,6,Selective private,0,52.8,1070,50.7134251968504,18.12
Auburn University Montgomery,5,Selective public,1,34.8,985,50.66297206703911,3.03
Augsburg College,6,Selective private,0,44.8,1075,46.387661870503585,16.34
Austin College,4,Highly selective private,0,47.6,1195,57.42036470588235,15.302
Austin Peay State University,5,Selective public,1,34.7,990,47.60751245551602,2.831
Averett University,6,Selective private,0,42.3,947.5,41.6099,14.19
Azusa Pacific University,6,Selective private,0,49,1066.5,51.33265753424657,15.455
Babson College,4,Highly selective private,0,85.5,1250,92.70217901234568,21.952
Baldwin Wallace University,6,Selective private,0,44,1140,53.379074074074076,15.34
Ball State University,5,Selective public,1,39,1044,52.850046650717694,3.83
Barnard College,2,Other elite schools (public and private),0,57.4,1325,68.97267759562841,23.056
Barry University,6,Selective private,0,45.3,955,51.89346625766871,15.53
Barton College,6,Selective private,0,36.5,935,39.47617567567567,11.462
Baylor University,4,Highly selective private,0,49.1,1175,60.69744275862069,11.94
Becker College,6,Selective private,0,35.8,872.5,48.17592307692308,12.62
Belhaven University,6,Selective private,0,37.9,1180,36.6245,10.86
Bellarmine University,6,Selective private,0,44.9,1080,51.12505504587156,13.76
Belmont Abbey College,6,Selective private,0,39.2,1035,39.75144186046512,12.713
Belmont University,6,Selective private,0,39.1,1125,51.32619277108434,12.33
Beloit College,4,Highly selective private,0,37.9,1230,53.657868686868696,21.55
Bennington College,4,Highly selective private,0,26.5,1195,45.87017741935484,23.6
Bentley University,4,Highly selective private,0,74.9,1145,78.65263374485596,18.91
Berry College,6,Selective private,0,37.7,1145,50.77993243243243,12.5
"Bethany College of Bethany, WV",6,Selective private,0,40.9,1020,46.09623636363637,19.695
Bethel College,6,Selective private,0,36.5,1070,33.78823188405797,12.95
"Bethel University of McKenzie, TN",6,Selective private,0,35.2,830,31.55640540540541,8.11
"Bethel University of Saint Paul, MN",6,Selective private,0,44,1160,48.82662162162162,15.935
Binghamton University,3,Highly selective public,1,58.4,1190,67.96998958333333,4.463
Birmingham Southern College,6,Selective private,0,41.9,1190,56.89531313131313,16.264
Bloomfield College,6,Selective private,0,39,820,53.88658333333334,10.95
Bloomsburg University Of Pennsylvania,5,Selective public,1,43.8,1015,69.06329357798165,4.668
Boise State University,5,Selective public,1,35.3,1005,53.350955645161285,2.45
Boston College,2,Other elite schools (public and private),0,67,1305,83.36609848484848,23.27
Boston University,4,Highly selective private,0,60.6,1290,73.97775506893755,25.044
Bowdoin College,2,Other elite schools (public and private),0,54.8,1360,70.35031125827814,25.89
Bowling Green State University,5,Selective public,1,39,960,53.90894139194139,5.034998
Brandeis University,2,Other elite schools (public and private),0,58.8,1335,71.561438650306755,26.166
Brenau University,6,Selective private,0,42.6,1045,44.633614457831335,12.18
Brevard College,8,Nonselective four-year private not-for-profit,0,31.1,984,37.60031746031746,11.5
Brewton Parker College,6,Selective private,0,34.7,920,39.919590909090914,7.2
Bridgewater College,6,Selective private,0,42.6,1040,46.1316125,14.97
Bridgewater State University,5,Selective public,1,41.5,1010,51.57901908396946,2.954
Brigham Young University-Idaho,8,Nonselective four-year private not-for-profit,0,39,1045,41.950825316455706,2.43
Brown University,1,Ivy Plus,0,59.7,1390,81.2917902684564,26.184
Bryan College,6,Selective private,0,35.5,1105.5,36.29129411764706,11.7
Bryn Mawr College,2,Other elite schools (public and private),0,50.4,1290,70.1272064516129,24.16
Bucknell University,2,Other elite schools (public and private),0,68.8,1285,65.64468858131488,23.839
Butler University,6,Selective private,0,52.4,1165,53.79957454545455,18.23
Cabrini College,6,Selective private,0,42.7,955,39.997879999999995,16.9
Cairn University,6,Selective private,0,32.6,1075,34.80539583333334,10.355
Caldwell College,6,Selective private,0,46.2,935,45.621405405405405,13.2
California Institute Of Technology,2,Other elite schools (public and private),0,74,1520,107.83462987012989,19.959
California Lutheran University,6,Selective private,0,52.9,1045,52.97343636363637,17.2
California Maritime Academy,5,Selective public,1,81.1,1080,59.490509090909086,2.138
California Polytechnic State University,5,Selective public,1,60.9,1170,70.74479855072464,2.129
"California State Polytechnic University, Pomona",5,Selective public,1,52,1015,72.52753960396039,1.795
California State University - Sacramento,5,Selective public,1,46.5,975,68.19719586206897,1.874
"California State University, Bakersfield",5,Selective public,1,48.1,965,61.86824242424243,1.795
"California State University, Chico",5,Selective public,1,45.1,1025,67.14177172061329,2.026
"California State University, Dominguez Hills",5,Selective public,1,42.8,835,67.5274599303136,1.735
"California State University, East Bay",5,Selective public,1,51.3,940,69.68698005698006,1.725
"California State University, Fresno",5,Selective public,1,43.2,940,65.92815634674922,1.746
"California State University, Fullerton",5,Selective public,1,46.5,980,66.42592244897959,1.798
"California State University, Long Beach",5,Selective public,1,46.9,980,67.27585714285715,1.742
"California State University, Los Angeles",5,Selective public,1,44.9,860,68.80660585197934,1.724
"California State University, Monterey Bay",5,Selective public,1,41.5,980,60.17048623853211,1.855
"California State University, Northridge",5,Selective public,1,44.2,925,66.52654675324676,1.814
"California State University, San Bernardino",5,Selective public,1,45.5,910,65.22296544276458,1.733
"California State University, San Marcos",5,Selective public,1,45.4,985,61.89964893617021,1.706
"California State University, Stanislaus",5,Selective public,1,44.9,945,62.711675572519084,1.803
California University Of Pennsylvania,5,Selective public,1,38.1,940,63.63007857142857,4.937
Canisius College,6,Selective private,0,45.7,1075,59.77417204301075,16.39
Capital University,6,Selective private,0,41.4,1070,46.353241758241765,17.08
Carleton College,2,Other elite schools (public and private),0,46.1,1370,76.05411764705883,24.39
Carlow University,6,Selective private,0,39.9,980,46.64606779661018,13.342
Carnegie Mellon University,2,Other elite schools (public and private),0,72,1360,92.30484275618375,24.792
Carroll College,6,Selective private,0,44,1105,40.02504878048781,12.338
Case Western Reserve University,2,Other elite schools (public and private),0,67,1340,77.57843238434164,20.26
Catholic University Of America,6,Selective private,0,54.5,1155,60.95314444444444,19.93
Cedar Crest College,6,Selective private,0,45.2,1070,48.025732394366194,17.89
Cedarville University,6,Selective private,0,40.9,1180,47.33430569948187,11.562
Centenary College,6,Selective private,0,41.6,915,39.95257446808511,15.12
Centenary College Of Louisiana,6,Selective private,0,39.3,1175,48.79805263157895,14.6
Central Connecticut State University,5,Selective public,1,43.7,980,62.478260869565226,3.972
Central Washington University,5,Selective public,1,44.9,990,51.881934718100894,3.162
Centre College Of Kentucky,4,Highly selective private,0,45,1250,57.49227777777778,16.9
Chaminade University Of Honolulu,6,Selective private,0,37.3,965,46.12827586206895,12.16
Champlain College,6,Selective private,0,40.4,975,42.60693939393939,11.005
Chapman University,4,Highly selective private,0,51.8,1173.5,61.523823529411764,20.994
Charleston Southern University,6,Selective private,0,36.1,990,43.976782608695665,11.496
Chatham University,6,Selective private,0,34.3,1065,47.90185915492957,18.236
Chestnut Hill College,6,Selective private,0,43,945,38.793153846153835,16.8
Christian Brothers University,6,Selective private,0,45.3,1100,44.434456310679614,14.33
Christopher Newport University,5,Selective public,1,42.4,1120,57.10289673913043,3.056
"Citadel, The Military College Of South Carolina",5,Selective public,1,52.5,1070,57.39618181818182,3.404
City College Of New York - CUNY,5,Selective public,1,44.5,995,65.61911669565218,3.309
Claflin University,6,Selective private,0,27.5,966.5,44.13258974358974,7.788
Claremont Mckenna College,2,Other elite schools (public and private),0,63.6,1360,79.94967021276595,22.58
Clark Atlanta University,6,Selective private,0,33.7,880,47.04555374592834,11.12
Clark University,4,Highly selective private,0,44.1,1165,68.26187804878049,23.52
Clarke University,6,Selective private,0,40.9,1122.5,40.96486956521739,14.136
Clarkson University,6,Selective private,0,68.4,1170,64.18871341463415,21
Clemson University,3,Highly selective public,1,49.4,1185,66.96008636363636,7.18
Coastal Carolina University,5,Selective public,1,36.2,1015,48.422022222222225,3.5
Coe College,6,Selective private,0,43.8,1145,51.221652777777784,18.415
Colby-Sawyer College,6,Selective private,0,38.6,1000,45.76758333333334,19.11
Colgate University,2,Other elite schools (public and private),0,61.5,1320,73.13918518518518,25.74
College Of Charleston,5,Selective public,1,39.7,1155,50.53487643020595,3.63
College Of Mount Saint Joseph,6,Selective private,0,39.9,985,44.7929262295082,13.59
College Of Mount Saint Vincent And Manhattan College,6,Selective private,0,59.74998,1055.3013,58.26671931834716,16.912912
College Of New Jersey,2,Other elite schools (public and private),1,56.8,1255,65.61890419161676,5.991
College Of New Rochelle,6,Selective private,0,37.4,950,53.08559813084112,12.05
College Of Our Lady Of The Elms,6,Selective private,0,43.7,925,39.656261904761905,14.72
College Of Saint Benedict,6,Selective private,0,47.6,1180,50.90467910447761,17.241
College Of Saint Elizabeth,6,Selective private,0,44.9,920,50.94822807017544,14.61
College Of Saint Rose,6,Selective private,0,42.7,1050,47.72741509433963,13.16
College Of Saint Scholastica,6,Selective private,0,47.5,1165,43.60591176470588,16.29
College Of The Holy Cross,2,Other elite schools (public and private),0,63.7,1230,65.24901595744682,23.815
College Of William & Mary,2,Other elite schools (public and private),1,56.4,1325,74.55513419117648,4.687
College Of Wooster,6,Selective private,0,44.4,1180,55.84156716417911,21.52
Colorado Christian University,6,Selective private,0,40.5,1074,41.7284375,11.4
Colorado College,4,Highly selective private,0,41.1,1270,66.80515476190476,22.8
Colorado School Of Mines,3,Highly selective public,1,74.7,1240,73.7087843137255,5.412
Colorado State University,5,Selective public,1,44.3,1110,71.1816659528908,3.133
Colorado State University-Pueblo,5,Selective public,1,36.2,935,49.26909493670886,2.369
Columbus College Of Art & Design,8,Nonselective four-year private not-for-profit,0,32.8,1058,41.6551125,14.84
Columbus State University,5,Selective public,1,36.1,965,51.37782524271845,2.27
Concord University,5,Selective public,1,32.9,1000,44.09597,2.62
Concordia University - Saint Paul,6,Selective private,0,45.3,1020,38.026011627906975,14.752
Concordia University - Wisconsin,6,Selective private,0,40.7,925,47.620434782608704,12.985
Concordia University Texas,6,Selective private,0,41,990,31.60247368421053,12.58
"Concordia University of Irvine, CA",6,Selective private,0,42.1,1000,36.048183673469396,15.7
"Concordia University of Portland, OR",6,Selective private,0,41.8,1005,31.8949,15.5
Cornell College,6,Selective private,0,41.9,1130,52.45971052631579,19.57
Cornell University,1,Ivy Plus,0,70.9,1400,88.46442702702701,24.85
Covenant College,6,Selective private,0,39.8,1172.5,52.55732608695652,16
Crown College,8,Nonselective four-year private not-for-profit,0,31.6,1050,22.04362068965517,10.57
Curry College,6,Selective private,0,43.6,956.5,52.8391976744186,17.705
D'Youville College,6,Selective private,0,48.3,940,45.42549494949495,11.755
Daemen College,6,Selective private,0,42.9,970,46.33554794520548,12.92
Dallas Baptist University,6,Selective private,0,42.2,995,48.242760000000004,9.15
Daniel Webster College,10,Four-year for-profit,0,51.9,1060,41.968303030303034,16.57
Dartmouth College,1,Ivy Plus,0,67.1,1425,88.19175126903554,25.653
Darton State College,9,Two-year (public and private not-for-profit),1,31.7,860,42.40742528735632,1.48
Davidson College,2,Other elite schools (public and private),0,58.5,1322.5,65.97853246753246,23.094
